kay ,"happy 18 bumbum my superstar ^^ maacih udah jadi ashila yang aku tau, yang berani, baik hati, dan tidak sombong hihihi, you are my inspiration, pls never stop being you!!! iloveyousomuch bum, sending lots of hugs from here🥺🫰",friends
najla,happy birthyayyy sillll may all your wishes come truee semoga selalu senang sehat dan semangat❤️ have a joyful eighteen!!!! loveyou,friends
gamar,"helohilu ashilu hihi happy 18th birthday yah bumers gaptek favoritku (bhap) 

I don't have anything to say dah apa ya ADUH this feels weird krn aku gprnh longteksin km tp may u have a happy bday fr fr 🙏 smoga gk ada yg bikin km bete lg

hah kayanya kt emang jarang chat panjang atau curhat-curhatan gitu, tp ily bum sumpah aku bkn fekfren walau 7 thn sekolah foto berdua kt cm satu... .

hmm apa ya semoga many good things that come to u this year semoga km selalu dikelilingi org org baik dan kebaikan dan kebahagiaan ya cilu just like u always lighten up everyone's mood ADUH ILY makasih jg udh jd org paling caring seluruh bumi ok, cheers to many more years together in devoque #10years++ #pergaulanbebas

once again happy b'day bumbum ❤️",friends
shofwah,"ASHILUUUU barambum HAPPY ULTAH YEYEYEY semoga kuliah di tekdus uwiw nya dilancarkan, selalu diberi kesehatan, dimudahkan dalam mencapai segala hal yg diinginkan (beasiswa, organisasi, ipk tinggi, dll), serta dijauhkan dari teman matil :D",friends
rei,"happiest 18th bday shilaa! just wanna say thank you for all the love you gave to us, semoga kamu selalu dikelilingi orang yang sayang sama kamu, and ofc eternal happiness! love yaa",friends
kai,"happy birthday ashila sayang, always so thankful for having u in my life, semogaaaaaa our friendship lasts a looooooong time, i hope each year you get older also means each year treats you easier. Keep doing what you love and great things will eventually comes to you!! Remember you always have us yah",friends
rakanda,"HAPPIEST BIRTHDAY ASHILAAAAA 🔥🔥🔥, Ditunggu Tampil di TED TALKS NYAAA🧕💵✨️✨️",os
yuana,"heii ashill!!! happy another bdayy, gak kerasa tahun lalu baru bgt kita ngucapin km h-1 karena pas banget lagi lpj. im a biggest fan of u, gimanaa cara kamu punyaa self-respect dan know how to manage your life 🌟🌟🌟, aku bener-bener salutt. hopefully this year kamu jadiii tambah kerenn 🆒🆒.",os
dennis,"oiya, Happiest birthhday for ibu negara apung, menteri keuangan os, dan sepupu jauh teknik industri gwe... Ashila G.K.D!!! 🎉🎊🔥",os
jasmine,"Happy Birthday Ashilaaa! May you always be surrounded by kindness and happiness, so that your smile blooms even brighter this year than it ever has before. 🙆🏻‍♀️✨",os
zully,"Shilloooo, happy bday july twin (sekarang gantian wkwkwk)!!!! si ibu peri udah udah keren dari awal jadi bendahara aegyo, terus selalu bisa diandelin di bumantara!! lu keren dan gw selalu respect dengan cara lu balance belajar sbg anak teknik dan job organisasi... gils gw masih penasaran fungsi alat kecil bank itu (yg dulu diajarin kak mila).. sooo yeah semoga lancar trus dan keren trus di fakultas sangar teknik ui!! selamat 18 yayy 🔥🔥🔥",os
barra,video,os
